,Total_Population2020,white_2020,black_2020,native_2020,asian_pi_2020,hisp_2020,pct_white_2020,pct_black_2020,pct_native_2020,pct_asian_pi_2020,pct_hispanic_2020,pov_idx,haz_idx,tcost_idx,pct_poor_ns,pct_nonwhite,hh_pct_white_lt30ami,hh_pct_black_lt30ami,hh_pct_hisp_lt30ami,hh_pct_ai_pi_lt30ami,stusab,state,state_name,county,county_name,tract
25012,3109,2839,69,3,17,56,91.315535542,2.2193631393,0.0964940495,0.546799614,1.801222258,21.0,0.0,,18.88,9.6214511041,96.0,0.0,0.0,8.0,IL,17,Illinois,1,Adams County,1002
25013,8015,7075,261,3,217,165,88.271990019,3.2563942608,0.0374298191,2.7074235808,2.0586400499,61.0,13.0,,7.35,13.3875,93.42,6.58,0.0,0.0,IL,17,Illinois,1,Adams County,1100
25014,4403,4136,12,3,4,56,93.935952759,0.272541449,0.0681353623,0.0908471497,1.2718600954,65.0,51.0,,6.59,5.0112359551,100.0,0.0,0.0,0.0,IL,17,Illinois,1,Adams County,10100
25015,3634,3412,15,5,19,50,93.891029169,0.4127682994,0.1375894331,0.5228398459,1.3758943313,47.0,67.0,,10.12,1.6924842226,100.0,0.0,0.0,0.0,IL,17,Illinois,1,Adams County,10200
25016,2800,2686,11,4,2,34,95.928571429,0.3928571429,0.1428571429,0.0714285714,1.2142857143,56.0,91.0,,8.22,1.8640350877,100.0,0.0,0.0,0.0,IL,17,Illinois,1,Adams County,10301
25017,3062,2901,7,6,7,31,94.741998694,0.2286087524,0.1959503592,0.2286087524,1.0124101894,55.0,87.0,,8.41,2.5030902349,91.38,0.0,6.9,0.0,IL,17,Illinois,1,Adams County,10302
25018,3605,3366,34,7,20,62,93.370319001,0.9431345354,0.1941747573,0.5547850208,1.7198335645,79.0,38.0,,4.27,3.6441893831,94.12,0.0,4.71,0.0,IL,17,Illinois,1,Adams County,10400
25019,3069,2796,73,7,26,43,91.10459433,2.3786249593,0.2280873249,0.8471814923,1.4011078527,80.0,25.0,,4.08,0.5547850208,100.0,0.0,0.0,0.0,IL,17,Illinois,1,Adams County,10500
25020,5842,5398,77,1,45,94,92.399863061,1.3180417665,0.0171174255,0.7702841493,1.6090380007,43.0,13.0,,11.13,4.5347269049,87.23,12.77,0.0,0.0,IL,17,Illinois,1,Adams County,10600
25021,1820,1533,177,10,6,28,84.230769231,9.7252747253,0.5494505495,0.3296703297,1.5384615385,14.0,42.0,,23.02,18.52033317,89.58,10.42,0.0,0.0,IL,17,Illinois,3,Alexander County,957600
25022,1491,1198,174,6,0,33,80.348759222,11.670020121,0.4024144869,0.0,2.2132796781,20.0,46.0,,19.58,17.475728155,74.17,19.17,0.0,0.0,IL,17,Illinois,3,Alexander County,957700
25023,1030,345,624,6,0,10,33.495145631,60.582524272,0.5825242718,0.0,0.9708737864,2.0,37.0,,42.09,73.446745562,56.73,43.27,0.0,0.0,IL,17,Illinois,3,Alexander County,957800
25024,899,198,637,0,0,11,22.024471635,70.85650723,0.0,0.0,1.2235817575,12.0,39.0,,25.4,71.596858639,20.74,74.07,2.96,0.0,IL,17,Illinois,3,Alexander County,957900
25025,2924,2659,88,9,4,47,90.937072503,3.0095759234,0.3077975376,0.1367989056,1.6073871409,34.0,68.0,,13.89,8.2286847323,100.0,0.0,0.0,0.0,IL,17,Illinois,5,Bond County,951200
25026,6883,5033,956,32,94,458,73.122185094,13.88929246,0.4649135551,1.3656835682,6.6540752579,33.0,55.0,,14.09,23.636086559,64.29,35.71,0.0,0.0,IL,17,Illinois,5,Bond County,951300
25027,2918,2761,9,4,0,40,94.619602467,0.3084304318,0.1370801919,0.0,1.3708019191,72.0,67.0,,5.35,6.8977841315,80.0,0.0,4.0,10.0,IL,17,Illinois,5,Bond County,951400
25028,4000,3811,20,7,7,59,95.275,0.5,0.175,0.175,1.475,54.0,57.0,,8.62,1.3546202225,100.0,0.0,0.0,0.0,IL,17,Illinois,5,Bond County,951500
25029,4396,2605,136,8,58,1432,59.258416742,3.0937215651,0.1819836215,1.3193812557,32.575068244,39.0,85.0,,12.38,40.65397755,78.57,0.0,21.43,0.0,IL,17,Illinois,7,Boone County,10101
25030,3756,1995,147,11,20,1469,53.115015974,3.9137380192,0.2928647497,0.5324813632,39.110756124,24.0,88.0,,17.39,59.598494354,63.33,6.67,28.33,0.0,IL,17,Illinois,7,Boone County,10102
25031,5640,3262,140,14,29,1974,57.836879433,2.4822695035,0.2482269504,0.5141843972,35.0,32.0,51.0,,14.4,46.96969697,75.0,9.38,15.63,0.0,IL,17,Illinois,7,Boone County,10200
25032,6674,3615,140,1,56,2589,54.16541804,2.0976925382,0.0149835181,0.8390770153,38.792328439,38.0,53.0,,12.56,39.321666409,95.3,0.0,6.27,0.0,IL,17,Illinois,7,Boone County,10300
25033,6912,4523,149,7,97,1895,65.436921296,2.1556712963,0.1012731481,1.4033564815,27.416087963,58.0,53.0,,7.85,14.470046083,75.76,9.09,15.15,0.0,IL,17,Illinois,7,Boone County,10400
25034,4501,3828,64,0,98,377,85.047767163,1.4219062431,0.0,2.1772939347,8.375916463,97.0,91.0,,1.05,11.051625239,78.57,0.0,14.29,0.0,IL,17,Illinois,7,Boone County,10501
25035,5795,4840,98,14,85,570,83.5202761,1.6911130285,0.2415875755,1.4667817084,9.8360655738,87.0,83.0,,2.97,6.6904717158,100.0,0.0,0.0,0.0,IL,17,Illinois,7,Boone County,10502
25036,3847,2951,30,3,13,736,76.709123993,0.7798284377,0.0779828438,0.3379256564,19.131791006,64.0,57.0,,6.7,23.805555556,100.0,0.0,0.0,0.0,IL,17,Illinois,7,Boone County,10601
25037,6380,5173,92,5,144,714,81.081504702,1.4420062696,0.078369906,2.2570532915,11.191222571,86.0,85.0,,3.1,17.274976802,100.0,0.0,0.0,0.0,IL,17,Illinois,7,Boone County,10603
25038,5547,3897,175,9,46,1124,70.254191455,3.1548584821,0.1622498648,0.8292770867,20.263205336,97.0,88.0,,0.8,24.839857651,100.0,0.0,0.0,0.0,IL,17,Illinois,7,Boone County,10604
25039,2349,2255,3,5,6,17,95.998297148,0.1277139208,0.2128565347,0.2554278416,0.723712218,53.0,67.0,,8.83,5.7131280389,100.0,0.0,0.0,0.0,IL,17,Illinois,9,Brown County,970400
25040,3895,2509,1032,2,5,265,64.415917843,26.49550706,0.0513478819,0.1283697047,6.8035943517,44.0,62.0,,10.87,38.34422658,100.0,0.0,0.0,0.0,IL,17,Illinois,9,Brown County,970500
25041,2866,2631,10,2,18,121,91.800418702,0.3489183531,0.0697836706,0.6280530356,4.2219120726,73.0,62.0,,5.18,4.4206773619,100.0,0.0,0.0,0.0,IL,17,Illinois,11,Bureau County,964700
25042,3231,3054,6,1,10,67,94.52181987,0.1857010214,0.0309501702,0.3095017023,2.0736614051,30.0,62.0,,15.29,2.0916641034,97.67,0.0,1.86,0.0,IL,17,Illinois,11,Bureau County,964800
25043,2635,2391,17,11,15,129,90.740037951,0.6451612903,0.4174573055,0.569259962,4.8956356736,22.0,62.0,,18.7,13.452065176,100.0,0.0,0.0,0.0,IL,17,Illinois,11,Bureau County,964900
25044,3668,2355,28,5,70,1108,64.203925845,0.7633587786,0.1363140676,1.9083969466,30.207197383,42.0,62.0,,11.56,35.395909806,64.65,0.0,29.29,4.04,IL,17,Illinois,11,Bureau County,965000
